Restaurant name,Food image,Image labels,Label: Score,Yelp URLs,Address
Great China,00000010.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/0krfg""
description: ""Meal""
score: 0.7756180763244629
topicality: 0.7756180763244629
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6992565989494324
topicality: 0.6992565989494324
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.6876289248466492
topicality: 0.6876289248466492
, mid: ""/m/07l8p5""
description: ""Side dish""
score: 0.5926690101623535
topicality: 0.5926690101623535
, mid: ""/m/01xw9""
description: ""Chinese food""
score: 0.546994149684906
topicality: 0.546994149684906
, mid: ""/m/04q6ng""
description: ""Comfort food""
score: 0.5146770477294922
topicality: 0.5146770477294922
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Meal': '0.7756180763244629', 'Produce': '0.6992565989494324', 'Recipe': '0.6876289248466492'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000011.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8495067358016968
topicality: 0.8495067358016968
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7236197590827942
topicality: 0.7236197590827942
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.6961517333984375
topicality: 0.6961517333984375
, mid: ""/m/02r3trx""
description: ""Pot roast""
score: 0.6467019319534302
topicality: 0.6467019319534302
, mid: ""/m/0971v""
description: ""Beef""
score: 0.6215038895606995
topicality: 0.6215038895606995
, mid: ""/m/0grtl""
description: ""Steak""
score: 0.6042384505271912
topicality: 0.6042384505271912
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Meat': '0.8495067358016968', 'Produce': '0.7236197590827942', 'Recipe': '0.6961517333984375', 'Beef': '0.6467019319534302', 'Steak': '0.6215038895606995'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000012.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7152724862098694
topicality: 0.7152724862098694
, mid: ""/m/04scj""
description: ""Meat""
score: 0.7150353789329529
topicality: 0.7150353789329529
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6460663080215454
topicality: 0.6460663080215454
, mid: ""/m/026j3z9""
description: ""Kakuni""
score: 0.5771469473838806
topicality: 0.5771469473838806
, mid: ""/m/01b7zv""
description: ""Pudding""
score: 0.5504917502403259
topicality: 0.5504917502403259
, mid: ""/m/0270h""
description: ""Dessert""
score: 0.5490148663520813
topicality: 0.5490148663520813
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Recipe': '0.7152724862098694', 'Meat': '0.7150353789329529', 'Produce': '0.6460663080215454', 'Kakuni': '0.5771469473838806', 'Pudding': '0.5504917502403259', 'Dessert': '0.5490148663520813'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000013.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.818818986415863
topicality: 0.818818986415863
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7729451656341553
topicality: 0.7729451656341553
, mid: ""/m/0f7swz""
description: ""F\303\245rik\303\245l""
score: 0.6560744047164917
topicality: 0.6560744047164917
, mid: ""/m/02rk570""
description: ""Soto""
score: 0.5517140626907349
topicality: 0.5517140626907349
, mid: ""/m/07hxn""
description: ""Thai food""
score: 0.5448368191719055
topicality: 0.5448368191719055
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9734369516372681', 'Ingredient': '0.9207317233085632', 'Meat': '0.818818986415863', 'Produce': '0.7814560532569885', 'Recipe': '0.7729451656341553', 'Soto': '0.6560744047164917'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000014.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/0dw_m""
description: ""Brunch""
score: 0.8394389748573303
topicality: 0.8394389748573303
, mid: ""/m/0hz4q""
description: ""Breakfast""
score: 0.778229296207428
topicality: 0.778229296207428
, mid: ""/m/0krfg""
description: ""Meal""
score: 0.6999905705451965
topicality: 0.6999905705451965
, mid: ""/m/02fw59""
description: ""Turkish coffee""
score: 0.6161264181137085
topicality: 0.6161264181137085
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.600089430809021
topicality: 0.600089430809021
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.5966755747795105
topicality: 0.5966755747795105
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Brunch': '0.8394389748573303', 'Breakfast': '0.778229296207428', 'Meal': '0.6999905705451965', 'Recipe': '0.6161264181137085', 'Produce': '0.600089430809021'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000015.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/022tld""
description: ""Staple food""
score: 0.7494956851005554
topicality: 0.7494956851005554
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.6876289248466492
topicality: 0.6876289248466492
, mid: ""/m/04scj""
description: ""Meat""
score: 0.5108658671379089
topicality: 0.5108658671379089
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Produce': '0.7814560532569885', 'Recipe': '0.7494956851005554', 'Meat': '0.6876289248466492'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000016.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7542139887809753
topicality: 0.7542139887809753
, mid: ""/m/07_lq""
description: ""Vegetarian food""
score: 0.6283182501792908
topicality: 0.6283182501792908
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9734369516372681', 'Ingredient': '0.9207317233085632', 'Produce': '0.7814560532569885', 'Recipe': '0.7542139887809753'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000017.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9668610095977783
topicality: 0.9668610095977783
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.87124103307724
topicality: 0.87124103307724
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7746604084968567
topicality: 0.7746604084968567
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6793420314788818
topicality: 0.6793420314788818
, mid: ""/m/0dw_m""
description: ""Brunch""
score: 0.5184874534606934
topicality: 0.5184874534606934
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9668610095977783', 'Ingredient': '0.9207317233085632', 'Meat': '0.87124103307724', 'Recipe': '0.7746604084968567', 'Produce': '0.6793420314788818', 'Brunch': '0.5184874534606934'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000018.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/09clx2""
description: ""Fried noodles""
score: 0.9498584866523743
topicality: 0.9498584866523743
, mid: ""/m/01npvx""
description: ""Chow mein""
score: 0.9009091854095459
topicality: 0.9009091854095459
, mid: ""/m/09448n""
description: ""Lo mein""
score: 0.9007959365844727
topicality: 0.9007959365844727
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.8915150165557861
topicality: 0.8915150165557861
, mid: ""/m/0mfnf""
description: ""Noodle""
score: 0.8811516165733337
topicality: 0.8811516165733337
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8255778551101685
topicality: 0.8255778551101685
, mid: ""/m/0dl21s""
description: ""Drunken noodles""
score: 0.8220034241676331
topicality: 0.8220034241676331
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9498584866523743', 'Noodle': '0.9009091854095459', 'Meat': '0.9007959365844727'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000019.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/027sjkl""
description: ""Spiced rice""
score: 0.9743266701698303
topicality: 0.9743266701698303
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.8915150165557861
topicality: 0.8915150165557861
, mid: ""/m/09759""
description: ""Rice""
score: 0.861266016960144
topicality: 0.861266016960144
, mid: ""/m/0bbsy8""
description: ""Yeung chow fried rice""
score: 0.8458969593048096
topicality: 0.8458969593048096
, mid: ""/m/0gzs81""
description: ""Takikomi gohan""
score: 0.8212084770202637
topicality: 0.8212084770202637
, mid: ""/m/02s819""
description: ""Pilaf""
score: 0.81727534532547
topicality: 0.81727534532547
, mid: ""/m/03_hl0""
description: ""Biryani""
score: 0.8113420009613037
topicality: 0.8113420009613037
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9743266701698303', 'Ingredient': '0.9734369516372681', 'Rice': '0.8915150165557861', 'Pilaf': '0.861266016960144', 'Biryani': '0.8458969593048096'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
